incidentid,latitude,longitude,year,month,day,hour,minute,second,numshots
3,38.861,-77.000999,2006,1,27,3,35,11.313,1
16,38.847,-77.009003,2006,1,27,8,8,23.417,1
348,38.827,-76.997002,2006,1,27,18,31,51.237,1
362,38.851002,-77.029999,2006,1,27,18,57,40.556999,1
365,38.847,-76.984001,2006,1,27,19,3,0.213,1
411,38.839001,-76.971001,2006,1,27,21,1,13.367,1
444,38.846001,-76.992996,2006,1,28,0,33,8.3800001,1
449,38.84,-76.974998,2006,1,28,1,43,51.153,1
454,38.860001,-76.986,2006,1,28,3,13,46.617001,1
456,38.799,-76.980003,2006,1,28,3,26,31.629999,1
460,38.833,-76.997002,2006,1,28,7,5,5.7800002,1
652,38.861,-76.982002,2006,1,28,22,23,41.32,1
653,38.862,-76.984001,2006,1,28,22,31,57.693001,1
659,38.827,-76.998001,2006,1,28,23,49,48.733002,1
660,38.825001,-77.003998,2006,1,28,23,52,50.382999,1
665,38.855,-76.987999,2006,1,29,1,8,48.036999,1
672,38.834,-76.989998,2006,1,29,2,4,18.636999,1
677,38.855999,-76.985001,2006,1,29,3,31,36.612999,1
678,38.828999,-77.008003,2006,1,29,3,38,57.637001,1
715,38.827,-76.999001,2006,1,29,6,41,4.5469999,1
879,38.839001,-77.002998,2006,1,29,18,19,6.447,1
880,38.839001,-77.007004,2006,1,29,18,19,17.427,1
885,38.818001,-76.945999,2006,1,29,18,30,17.223,1
913,38.835999,-76.996002,2006,1,29,22,20,41.067001,1
917,38.860001,-77,2006,1,30,1,25,11.69,1
920,38.861,-76.988998,2006,1,30,1,49,5.217,1
921,38.841,-76.984001,2006,1,30,2,54,47.777,1
922,38.827999,-77,2006,1,30,4,3,54.117001,1
1117,38.826,-77,2006,1,30,13,3,33.153,1
1118,38.826,-77.000999,2006,1,30,13,3,44.84,1
1152,38.832001,-76.989998,2006,1,30,17,45,11.18,1
1164,38.832001,-76.996002,2006,1,30,20,2,17.843,1
1165,38.832001,-76.995003,2006,1,30,20,2,25.983,1
1166,38.832001,-76.997002,2006,1,30,20,3,32.926998,1
1167,38.832001,-76.996002,2006,1,30,20,4,11.187,1
1168,38.832001,-76.996002,2006,1,30,20,4,37.237,1
1169,38.832001,-76.996002,2006,1,30,20,7,7.3829999,1
1172,38.827999,-77.001999,2006,1,30,20,39,12.943,1
1181,38.831001,-77.000999,2006,1,30,22,57,48.862999,1
1987,38.855999,-76.973,2006,2,1,3,2,25.743,1
1988,38.855999,-76.973999,2006,2,1,3,3,1.65,1
2077,38.856998,-77.013,2006,2,1,12,34,27.450001,1
2138,38.834999,-76.998001,2006,2,1,17,5,5.7870002,1
2170,38.827999,-77.010002,2006,2,2,3,12,32.676998,1
2171,38.861,-76.987999,2006,2,2,3,12,40.907001,1
2451,38.834,-76.989998,2006,2,2,21,27,28.73,1
2452,38.831001,-76.998001,2006,2,2,21,38,25.777,1
2454,38.847,-76.976997,2006,2,2,22,57,32.716999,1
2465,38.844002,-76.976997,2006,2,3,2,15,13.74,1
2838,38.841999,-76.983002,2006,2,3,22,36,55.779999,1
2843,38.869999,-76.982002,2006,2,3,22,59,36.277,1
2844,38.869999,-76.982002,2006,2,3,22,59,53.220001,1
2849,38.832001,-76.996002,2006,2,3,23,15,52.567001,1
2850,38.856998,-76.974998,2006,2,3,23,20,15.363,1
2851,38.856998,-76.973,2006,2,3,23,21,43.002998,1
2852,38.856998,-76.973999,2006,2,3,23,21,55.907001,1
2853,38.855999,-76.973999,2006,2,3,23,21,56.126999,1
2854,38.856998,-76.973999,2006,2,3,23,22,13.163,1
2860,38.832001,-76.996002,2006,2,4,1,14,41.080002,1
2862,38.852001,-76.959999,2006,2,4,1,43,3.3199999,1
2870,38.862999,-76.982002,2006,2,4,3,40,46.786999,1
2946,38.838001,-76.987999,2006,2,4,9,33,6.1269999,1
2997,38.832001,-76.997002,2006,2,4,13,24,41.757,1
2998,38.832001,-76.972,2006,2,4,13,27,19.99,1
3040,38.860001,-76.994003,2006,2,4,14,7,10.533,1
3185,38.833,-77,2006,2,4,19,56,34.25,1
3241,38.814999,-76.969002,2006,2,4,20,36,28.503,1
3247,38.834,-76.990997,2006,2,4,21,2,55.266998,1
3258,38.846001,-76.973999,2006,2,5,3,20,23.120001,1
3259,38.848999,-76.976997,2006,2,5,3,57,47.097,1
3260,38.848,-76.976997,2006,2,5,3,58,26.139999,1
3285,38.834,-76.994003,2006,2,5,15,33,13.727,1
3290,38.825001,-77.004997,2006,2,5,15,50,12.547,1
3329,38.848,-76.976997,2006,2,5,18,38,14.517,1
3352,38.835999,-77.003998,2006,2,6,0,50,19.73,1
3353,38.838001,-76.989998,2006,2,6,3,0,28.487,1
3357,38.838001,-76.989998,2006,2,6,3,5,6.9429998,1
3358,38.838001,-76.988998,2006,2,6,3,5,18.309999,1
3359,38.838001,-76.989998,2006,2,6,3,5,37.707001,1
3360,38.839001,-76.989998,2006,2,6,3,5,44.583,1
3361,38.838001,-76.989998,2006,2,6,3,7,11.21,1
3362,38.859001,-76.995003,2006,2,6,3,15,50.423,1
3442,38.827999,-77.009003,2006,2,7,9,52,30.552999,1
3602,38.833,-76.990997,2006,2,7,20,30,39.676998,1
3624,38.827,-77.001999,2006,2,8,2,58,45.013,1
3742,38.854,-76.972,2006,2,9,2,55,16.853001,1
3806,38.835999,-76.987,2006,2,9,9,27,41,1
3947,38.858002,-76.969002,2006,2,9,23,15,59.93,1
3954,38.84,-76.962997,2006,2,10,22,14,21.403,1
4002,38.862999,-76.986,2006,2,11,14,45,35.630001,1
4013,38.825001,-76.998001,2006,2,11,21,51,56.997002,1
4014,38.846001,-77.002998,2006,2,11,22,40,11.823,1
4015,38.827999,-76.994003,2006,2,11,23,24,19.143,1
4016,38.859001,-76.988998,2006,2,12,0,15,34.112999,1
4018,38.846001,-76.970001,2006,2,12,1,27,5.0999999,1
4021,38.855999,-76.987,2006,2,12,2,56,58.707001,1
4022,38.841999,-76.989998,2006,2,12,3,22,20.292999,1
4024,38.868,-76.986,2006,2,12,3,42,39.707001,1
4025,38.860001,-76.998001,2006,2,12,4,48,5.1269999,1
4026,38.860001,-76.998001,2006,2,12,4,48,13.02,1
4028,38.868999,-76.988998,2006,2,12,4,58,28.24,1
4032,38.862999,-76.972,2006,2,12,5,7,10.827,1
4176,38.861,-76.969002,2006,2,12,12,39,57.23,1
4331,38.833,-76.988998,2006,2,12,19,10,54.720001,1
4345,38.860001,-77.002998,2006,2,12,20,19,25.823,1
4347,38.862,-76.992996,2006,2,12,20,22,32.527,1
4350,38.841999,-76.987999,2006,2,12,20,30,48.356998,1
4353,38.827999,-76.980003,2006,2,12,20,58,49.047001,1
4381,38.827999,-77.004997,2006,2,13,2,18,0.60699999,1
4399,38.852001,-77.012001,2006,2,13,7,49,2.947,1
4556,38.846001,-76.999001,2006,2,13,16,51,29.306999,1
4557,38.833,-76.990997,2006,2,13,16,51,44.527,1
4583,38.858002,-76.988998,2006,2,13,22,1,30.323,1
4584,38.863998,-76.995003,2006,2,13,22,1,33.637001,1
4597,38.848999,-76.970001,2006,2,14,2,3,25.297001,1
4598,38.828999,-76.997002,2006,2,14,2,39,53.389999,1
4599,38.835999,-76.989998,2006,2,14,3,25,55.272999,1
4661,38.827999,-76.995003,2006,2,14,18,16,2.4300001,1
4665,38.834,-76.990997,2006,2,14,19,44,58.957001,1
4666,38.834,-76.990997,2006,2,14,19,45,11.453,1
4670,38.834,-77.003998,2006,2,14,21,21,25.226999,1
4671,38.834,-77.005997,2006,2,14,21,21,38.727001,1
4876,38.861,-76.988998,2006,2,15,9,29,12.85,1
5057,38.841999,-76.990997,2006,2,15,10,52,31.673,1
5077,38.861,-76.989998,2006,2,15,11,16,44.536999,1
5163,38.827,-77.000999,2006,2,15,21,27,7.5929999,1
5168,38.861,-76.981003,2006,2,15,21,54,44.837002,1
5167,38.861,-76.982002,2006,2,15,21,54,50.036999,1
5170,38.858002,-76.996002,2006,2,15,22,38,3.447,1
5174,38.831001,-76.989998,2006,2,16,2,27,59.799999,1
5486,38.868,-76.992996,2006,2,16,17,37,42.047001,1
5542,38.827,-76.999001,2006,2,16,19,57,14.843,1
5545,38.827,-76.999001,2006,2,16,19,59,41.169998,1
6962,38.842999,-76.986,2006,2,17,20,16,39.25,1
6964,38.842999,-76.986,2006,2,17,20,20,42.567001,1
6970,38.868,-76.985001,2006,2,17,20,36,39.993,1
7021,38.842999,-76.991997,2006,2,17,22,22,1.4529999,1
7038,38.842999,-76.986,2006,2,17,22,59,55.07,1
7047,38.847,-76.995003,2006,2,17,23,32,42.757,1
7050,38.846001,-76.985001,2006,2,17,23,45,31.257,1
7060,38.841999,-76.988998,2006,2,18,1,53,40.417,1
7061,38.844002,-76.989998,2006,2,18,1,53,47.987,1
7504,38.846001,-77,2006,2,18,19,43,20.013,1
7861,38.831001,-76.985001,2006,2,19,4,24,45.240002,1
7980,38.826,-77,2006,2,19,20,50,25.007,1
7989,38.84,-76.989998,2006,2,20,2,49,49.016998,1
7990,38.84,-76.988998,2006,2,20,2,49,54.207001,1
8076,38.841999,-76.985001,2006,2,20,13,15,6.7800002,1
8189,38.837002,-76.988998,2006,2,20,19,28,9.823,1
8202,38.841,-76.987999,2006,2,20,22,54,15.7,1
8391,38.832001,-76.995003,2006,2,21,20,45,7.007,1
8403,38.827,-77.005997,2006,2,21,23,13,12.633,1
8406,38.827,-77.004997,2006,2,21,23,52,35.337002,1
8408,38.824001,-77.000999,2006,2,22,0,7,10.85,1
8410,38.824001,-77.000999,2006,2,22,1,51,17.65,1
8433,38.821999,-76.968002,2006,2,22,9,47,59.459999,1
8491,38.842999,-76.983002,2006,2,22,23,55,16.437,1
8493,38.842999,-76.966003,2006,2,23,0,49,32.98,1
8731,38.834,-76.990997,2006,2,23,19,43,22.82,1
8732,38.869999,-76.985001,2006,2,23,19,44,16.837,1
8748,38.860001,-77.001999,2006,2,23,23,27,17.316999,1
9800,38.848999,-76.982002,2006,2,24,23,50,12.537,1
9801,38.845001,-76.977997,2006,2,24,23,50,42.022999,1
9802,38.841999,-76.964996,2006,2,24,23,58,37.303001,1
9812,38.839001,-77.003998,2006,2,25,1,30,20.382999,1
9813,38.839001,-77.003998,2006,2,25,1,30,37.243,1
9814,38.839001,-77.003998,2006,2,25,1,32,4.0830002,1
9815,38.839001,-77.003998,2006,2,25,1,33,16.877001,1
9816,38.839001,-77.003998,2006,2,25,1,35,17.833,1
9822,38.859001,-77.000999,2006,2,25,2,54,54.632999,1
9824,38.825001,-76.988998,2006,2,25,3,17,16.917,1
10691,38.837002,-76.997002,2006,2,25,23,26,24.497,1
10714,38.856998,-76.975998,2006,2,25,23,38,51.553001,1
12042,38.849998,-76.982002,2006,2,27,13,49,48.437,1
12479,38.861,-76.999001,2006,2,28,18,6,26.823,1
12488,38.847,-76.973999,2006,2,28,18,45,25.927,1
12506,38.842999,-76.996002,2006,2,28,21,38,53.223,1
12515,38.844002,-76.978996,2006,2,28,22,24,8.3929996,1
12521,38.858002,-76.978996,2006,3,1,2,7,37.23,1
12625,38.832001,-76.991997,2006,3,1,15,49,42.689999,1
12670,38.834,-76.990997,2006,3,1,19,12,25.476999,1
12686,38.834,-76.986,2006,3,1,20,30,49.577,1
12693,38.837002,-76.989998,2006,3,1,23,19,26.503,1
12695,38.827,-77.004997,2006,3,1,23,21,35.759998,1
12961,38.847,-76.959,2006,3,2,17,31,21.313,1
12962,38.841999,-76.987999,2006,3,2,17,33,3.247,1
12971,38.828999,-77.000999,2006,3,3,1,53,8.467,1
12972,38.842999,-77.002998,2006,3,3,2,23,16.377001,1
12973,38.842999,-77.002998,2006,3,3,2,50,48.743,1
12983,38.841999,-76.987,2006,3,3,6,39,12.417,1
13058,38.841999,-76.987,2006,3,4,23,15,11.06,1
13063,38.858002,-76.996002,2006,3,5,1,19,22.530001,1
13064,38.856998,-76.996002,2006,3,5,2,25,28.843,1
13065,38.846001,-76.977997,2006,3,5,3,39,35.887001,1
13066,38.834,-76.991997,2006,3,5,4,6,10.997,1
13084,38.856998,-76.973,2006,3,6,4,55,9.6370001,1
13085,38.856998,-76.973999,2006,3,6,4,55,49.907001,1
13096,38.856998,-76.986,2006,3,6,18,56,3.1500001,1
13104,38.842999,-76.999001,2006,3,7,23,43,54.617001,1
13106,38.827,-76.994003,2006,3,8,6,42,29.547001,1
13107,38.838001,-76.988998,2006,3,8,6,45,53.139999,1
13108,38.845001,-76.981003,2006,3,8,7,6,32.252998,1
13114,38.825001,-77.008003,2006,3,8,19,10,41.067001,1
13116,38.823002,-77.005997,2006,3,8,21,20,51.396999,1
13132,38.845001,-76.980003,2006,3,9,21,31,0.50300002,1
13133,38.845001,-76.980003,2006,3,9,21,31,8.4169998,1
13140,38.827999,-77.000999,2006,3,9,23,31,57.477001,1
13173,38.821999,-77,2006,3,11,1,30,39.597,1
13174,38.856998,-76.973,2006,3,11,5,0,22.157,1
13175,38.856998,-76.973,2006,3,11,5,0,29.593,1
13186,38.855999,-76.995003,2006,3,11,17,33,54.283001,1
13188,38.847,-76.983002,2006,3,11,20,3,47.817001,1
13189,38.846001,-76.989998,2006,3,11,20,6,38.880001,1
13190,38.842999,-76.986,2006,3,11,20,6,47.452999,1
13204,38.839001,-76.998001,2006,3,11,20,51,14.6,1
13208,38.834,-76.991997,2006,3,11,22,7,13.007,1
13213,38.841,-76.975998,2006,3,12,1,5,33.297001,1
13214,38.844002,-76.978996,2006,3,12,1,6,4.5029998,1
13217,38.858002,-76.997002,2006,3,12,2,21,9.9130001,1
13219,38.827999,-76.989998,2006,3,12,3,21,21.379999,1
13220,38.861,-76.981003,2006,3,12,3,24,24.183001,1
13226,38.841,-76.987,2006,3,12,13,57,10.22,1
13227,38.841,-76.983002,2006,3,12,13,58,6.27,1
13234,38.865002,-76.982002,2006,3,12,22,30,16.087,1
13235,38.834999,-77.004997,2006,3,13,3,25,51.687,1
13266,38.848,-76.973999,2006,3,13,23,9,17.527,1
13265,38.847,-76.978996,2006,3,13,23,9,23.59,1
13310,38.834999,-76.988998,2006,3,14,22,2,28.423,1
13311,38.856998,-76.974998,2006,3,14,22,13,33.266998,1
13315,38.861,-76.988998,2006,3,15,2,13,15.417,1
13363,38.862,-76.995003,2006,3,15,21,59,59.130001,1
13372,38.861,-76.985001,2006,3,16,22,48,34.577,1
13375,38.834,-76.997002,2006,3,17,14,8,49.553001,1
13387,38.834999,-77.004997,2006,3,18,2,17,0.029999999,1
13388,38.844002,-76.977997,2006,3,18,2,19,19.01,1
13391,38.858002,-76.973999,2006,3,18,4,51,18.49,1
13428,38.845001,-76.977997,2006,3,18,22,23,54.036999,1
13434,38.827,-76.992996,2006,3,19,5,9,13.417,1
13457,38.839001,-76.975998,2006,3,20,6,13,34.617001,1
13469,38.844002,-76.985001,2006,3,20,20,59,57.943001,1
13506,38.837002,-76.996002,2006,3,22,20,11,22.809999,1
13507,38.837002,-76.997002,2006,3,22,20,12,1.0829999,1
13508,38.833,-77.005997,2006,3,22,21,1,19.700001,1
13509,38.831001,-77.002998,2006,3,22,21,1,29.087,1
13510,38.841999,-76.986,2006,3,22,21,14,22,1
13525,38.842999,-76.990997,2006,3,24,13,10,10.53,1
13529,38.842999,-76.982002,2006,3,24,15,25,19.103001,1
13530,38.841999,-76.986,2006,3,24,15,25,36.437,1
13531,38.842999,-76.986,2006,3,24,15,25,41.856998,1
13540,38.837002,-76.988998,2006,3,25,0,45,27.593,1
13541,38.847,-77.003998,2006,3,25,1,58,39.556999,1
13542,38.834999,-76.989998,2006,3,25,4,14,7.7069998,1
13543,38.855999,-76.973999,2006,3,25,4,37,35.932999,1
13544,38.839001,-76.999001,2006,3,25,4,38,26.417,1
13557,38.831001,-77.003998,2006,3,25,22,9,23.787001,1
13562,38.830002,-76.982002,2006,3,26,13,17,31.82,1
13563,38.834999,-76.995003,2006,3,26,16,12,8.3199997,1
13564,38.838001,-76.996002,2006,3,26,16,37,44.353001,1
13567,38.841999,-76.986,2006,3,26,22,40,43.049999,1
13568,38.834,-77.007004,2006,3,26,23,14,47.932999,1
